Station,Divisions,x,y,"Attempts or threats to murder, assaults, harassments and related offences",Dangerous or negligent acts,Kidnapping and related offences,"Robbery, extortion and hijacking offences",Burglary and related offences,Theft and related offences,"Fraud, deception and related offences",Controlled drug offences,Weapons and Explosives Offences,Damage to property and to the environment,Public order and other social code offences,"Offences against government, justice procedures and organisation of crime"
Bangor Erris,Mayo Division,+54.14397636,-9.74707911,64,63,0,1,30,97,11,16,0,57,80,1
Bansha,Tipperary Division,+52.44925212,-8.0655904,37,40,0,0,83,123,5,28,3,63,52,9
Bantry,Cork West Division,+51.68027131,-9.45523339,357,255,0,13,163,694,85,330,52,452,1265,122
Barnaderg,Galway Division,+53.48054530,-8.72246158,42,59,0,0,79,136,16,6,8,68,43,9
Barraduff,Kerry Division,+52.05976668,-9.34094103,5,45,0,0,22,36,1,7,0,16,31,0
Beal an Mhuirthead,Mayo Division,+54.22174896,-9.98558758,209,201,0,3,71,287,40,29,16,301,508,27
Beal Atha an Ghaorthaidh,Cork West Division,+51.85186418,-9.22898251,22,35,1,0,34,78,4,26,2,49,26,9
Belturbet,Cavan/Monaghan Division,+54.10116336,-7.442618,171,253,1,7,245,464,45,78,13,212,309,26
Bennettsbridge,Kilkenny/Carlow Division,+52.59030389,-7.18323679,25,75,0,2,155,189,12,33,6,83,64,8
Birr,Laois/Offaly Division,+53.09604766,-7.91151594,516,310,1,29,605,1449,112,397,85,880,1069,129
Bishopstown,Cork City Division,+51.88066770,-8.51461385,385,502,4,78,975,4650,386,496,35,1361,1655,74
Blacklion,Cavan/Monaghan Division,+54.29148162,-7.87619063,25,13,0,0,39,82,4,60,5,25,98,330
Blackrock Co Cork,Cork North Division,+51.89432680,-8.40447254,531,465,3,43,684,2905,131,636,113,1752,2154,184
Blackrock Co Dublin,D.M.R. Southern Division,+53.29975513,-6.17750609,752,669,4,233,3690,7475,639,959,141,2541,3157,191
Blackrock Co Louth,Louth Division,+53.96375295,-6.36823983,152,137,1,19,476,930,46,54,18,547,293,18
Blackwater,Wexford Division,+52.44540655,-6.34883221,69,97,3,5,293,493,31,80,15,226,115,12
Blanchardstown,D.M.R. Western Division,+53.38991904,-6.38097698,2671,3704,43,1539,7168,28972,1690,3663,1042,12288,7285,4440
Blarney,Cork City Division,+51.93196583,-8.5676546,337,365,0,19,640,1689,46,257,45,862,782,75
